SL. No.,Class,Age,time,adv_bookdays,weekday,month,monthday,demand,from_ind,to_ind,Fare
1,0,77,39,69,0,0,3,1,5,4,11854.27
2,0,45,34,10,4,1,11,1,2,4,14968.5
3,0,71,36,17,1,2,7,1,1,4,5859.32
4,0,35,31,28,1,4,9,1,7,4,2774.19
5,0,42,33,17,4,6,28,1,7,4,3833.66
6,1,47,43,38,4,2,10,1,7,4,5438.05
7,1,72,43,11,6,1,13,3,2,4,44650.78
8,0,38,46,63,0,0,10,1,1,4,6005.25
9,0,58,39,50,2,4,31,1,7,4,2846.38
10,0,14,46,15,1,0,11,2,7,4,1872.34
11,1,34,25,31,3,0,27,1,3,4,9272.27
12,0,27,45,58,4,0,7,1,7,4,2181.07
13,1,69,44,37,4,2,10,1,6,4,17863.68
14,0,47,33,14,6,7,13,1,6,4,22331.96
17,0,60,40,56,6,0,9,1,2,4,9206.78
18,0,83,35,8,1,8,12,2,5,4,10837.63
19,1,16,27,18,2,3,12,1,2,4,15966.48
20,1,42,41,37,0,4,1,1,2,4,27706.51
21,0,36,44,17,1,3,11,2,5,4,6669.51
22,0,33,40,19,6,3,30,1,6,4,11774.09
23,0,46,40,12,1,9,3,1,3,4,5260.9
25,0,63,37,44,0,7,7,2,5,4,7411.41
26,0,46,37,12,3,3,6,1,5,4,11606.58
27,0,64,44,13,1,1,15,2,2,4,11366.01
28,0,20,34,42,5,0,1,1,7,4,1345.89
29,1,74,40,48,1,7,29,1,1,4,13029.69
30,0,74,35,22,2,8,27,1,2,4,6331.08
32,1,38,42,16,2,7,16,1,2,4,30613.9
33,1,58,41,10,3,0,13,2,7,4,8597.83
34,0,58,39,9,4,3,21,1,7,4,2309.38
35,0,43,24,11,0,1,14,1,1,4,7989.91
37,0,56,41,34,2,2,8,1,2,4,9543.48
38,0,45,42,26,6,9,1,1,5,4,9894.03
39,1,50,40,53,5,9,28,1,2,4,26321.56
42,0,17,38,33,0,4,15,1,5,4,7798.17
43,0,50,36,7,3,1,10,1,3,4,8754.52
44,1,21,44,14,3,1,17,1,5,4,17690.34
45,1,17,35,36,0,4,1,1,7,4,6506.28
46,0,62,43,67,3,5,1,1,3,4,5097.1
47,0,81,34,39,0,0,3,2,5,4,12239.99
48,0,33,34,5,4,5,9,1,7,4,2738.1
49,0,47,42,7,3,3,20,2,2,4,15728.41
50,0,39,47,3,6,1,6,2,3,4,10380.86
51,0,34,32,15,4,1,18,1,1,4,6301.99
52,1,70,32,50,5,0,15,1,1,4,13409.16
53,1,59,39,40,2,0,5,1,1,4,8723.2
54,0,47,46,37,1,4,2,1,5,4,6449.46
55,0,13,29,6,5,3,1,1,2,4,8869.86
56,0,17,39,27,2,2,8,1,5,4,5322.29
57,0,71,31,17,4,2,10,1,1,4,5811.28
58,1,77,29,49,6,4,14,1,5,4,29391.05
59,1,47,28,36,5,2,11,1,2,4,18269.97
60,0,75,29,45,4,9,27,1,7,4,1680.69
61,0,57,36,37,0,0,3,2,1,4,7993.46
62,0,76,34,45,2,4,10,1,5,4,5205.76
63,0,80,33,60,2,0,26,1,7,4,2527.86
64,1,68,42,40,6,6,16,1,6,4,39061.56
65,0,45,40,2,5,8,9,1,5,4,11513.81
66,0,61,36,38,2,0,5,1,2,4,9304.48
68,0,62,34,19,0,4,8,1,2,4,10494.68
69,0,40,38,24,1,1,29,1,3,4,6293.09
70,1,61,40,31,0,4,15,1,7,4,6342.23
71,1,23,29,17,1,9,10,1,3,4,9229.82
72,0,78,38,13,6,6,16,1,7,4,4126.83
73,0,64,44,16,0,6,31,1,6,4,13641.09
74,0,15,36,20,6,3,16,1,5,4,7967.81
75,1,74,35,29,5,3,8,2,1,4,13628.08
76,0,80,41,46,5,0,15,1,2,4,9064.92
77,1,51,45,37,3,6,13,1,6,4,20322.62
78,0,66,43,13,6,3,9,1,3,4,9288.65
79,1,39,40,33,4,9,27,1,6,4,20571.07
80,0,35,47,11,1,3,25,1,2,4,8367.07
81,0,42,43,14,5,6,29,1,1,4,8077.75
83,0,47,26,36,6,3,16,1,5,4,14308.95
84,0,71,42,33,0,0,3,2,2,4,13851.28
85,0,53,30,9,3,3,6,1,2,4,8782.07
86,1,54,45,22,2,4,24,1,7,4,8987.07
87,1,60,32,25,2,7,9,1,2,4,15822.19
88,0,37,42,33,0,0,3,3,1,4,8969.22
89,0,60,39,59,0,3,10,1,5,4,7824.5
90,0,73,34,43,2,7,9,2,2,4,9845.85
91,0,79,40,12,3,1,17,1,3,4,6366.41
93,0,66,40,47,3,3,27,1,5,4,7833.53
94,0,59,34,7,5,3,22,1,3,4,8036.15
95,1,25,48,31,2,7,16,1,5,4,13200.21
96,1,59,25,36,6,5,25,1,6,4,26074.49
97,0,39,39,34,3,0,6,2,2,4,11221.22
99,0,56,35,27,1,6,25,1,3,4,3676.16
101,1,59,38,55,3,0,27,1,5,4,20070.73
102,0,52,44,17,4,3,14,2,2,4,7754.19
103,0,54,34,37,6,1,6,1,6,4,11433.17
104,1,73,40,22,6,9,1,1,1,4,20171.31
105,1,63,25,37,5,6,22,1,1,4,12671.28
106,0,20,44,15,5,0,15,1,5,4,6881.35
107,0,67,35,35,5,0,8,1,1,4,3528.57
108,0,53,36,12,1,7,15,2,6,4,8617.88
109,1,36,33,46,2,6,5,1,2,4,18981.23
110,0,35,33,19,4,1,25,1,5,4,6546.86
