SL. No.,Class,Age,time,adv_bookdays,weekday,month,monthday,demand,from_ind,to_ind,Fare
1,0,77.2,39,69,0,0,3,1,5,4,11854.27
2,0,45.3,34,10,4,1,11,1,2,4,14968.5
3,0,70.9,36,17,1,2,7,1,1,4,5859.32
4,0,35.1,31,28,1,4,9,1,7,4,2774.19
5,0,41.8,33,17,4,6,28,1,7,4,3833.66
6,1,47.4,43,38,4,2,10,1,7,4,5438.05
7,1,72.4,43,11,6,1,13,3,2,4,44650.78
8,0,38.1,46,63,0,0,10,1,1,4,6005.25
9,0,57.8,39,50,2,4,31,1,7,4,2846.38
10,0,14.1,46,15,1,0,11,2,7,4,1872.34
11,1,34.2,25,31,3,0,27,1,3,4,9272.27
12,0,26.5,45,58,4,0,7,1,7,4,2181.07
13,1,68.7,44,37,4,2,10,1,6,4,17863.68
14,0,46.6,33,14,6,7,13,1,6,4,22331.96
17,0,60.3,40,56,6,0,9,1,2,4,9206.78
18,0,83,35,8,1,8,12,2,5,4,10837.63
19,1,16.1,27,18,2,3,12,1,2,4,15966.48
20,1,42.1,41,37,0,4,1,1,2,4,27706.51
21,0,36.4,44,17,1,3,11,2,5,4,6669.51
22,0,32.6,40,19,6,3,30,1,6,4,11774.09
23,0,46.1,40,12,1,9,3,1,3,4,5260.9
25,0,62.6,37,44,0,7,7,2,5,4,7411.41
26,0,45.5,37,12,3,3,6,1,5,4,11606.58
27,0,64.3,44,13,1,1,15,2,2,4,11366.01
28,0,20.2,34,42,5,0,1,1,7,4,1345.89
29,1,73.6,40,48,1,7,29,1,1,4,13029.69
30,0,73.6,35,22,2,8,27,1,2,4,6331.08
32,1,38.3,42,16,2,7,16,1,2,4,30613.9
33,1,58.3,41,10,3,0,13,2,7,4,8597.83
34,0,57.8,39,9,4,3,21,1,7,4,2309.38
35,0,43.1,24,11,0,1,14,1,1,4,7989.91
37,0,56.4,41,34,2,2,8,1,2,4,9543.48
38,0,44.7,42,26,6,9,1,1,5,4,9894.03
39,1,49.8,40,53,5,9,28,1,2,4,26321.56
42,0,17.4,38,33,0,4,15,1,5,4,7798.17
43,0,49.9,36,7,3,1,10,1,3,4,8754.52
44,1,20.5,44,14,3,1,17,1,5,4,17690.34
45,1,17.1,35,36,0,4,1,1,7,4,6506.28
46,0,62.2,43,67,3,5,1,1,3,4,5097.1
47,0,81.4,34,39,0,0,3,2,5,4,12239.99
48,0,32.6,34,5,4,5,9,1,7,4,2738.1
49,0,46.8,42,7,3,3,20,2,2,4,15728.41
50,0,39.3,47,3,6,1,6,2,3,4,10380.86
51,0,34.1,32,15,4,1,18,1,1,4,6301.99
52,1,70.4,32,50,5,0,15,1,1,4,13409.16
53,1,59.1,39,40,2,0,5,1,1,4,8723.2
54,0,46.6,46,37,1,4,2,1,5,4,6449.46
55,0,12.9,29,6,5,3,1,1,2,4,8869.86
56,0,16.8,39,27,2,2,8,1,5,4,5322.29
57,0,71.1,31,17,4,2,10,1,1,4,5811.28
58,1,77.3,29,49,6,4,14,1,5,4,29391.05
59,1,46.5,28,36,5,2,11,1,2,4,18269.97
60,0,75.1,29,45,4,9,27,1,7,4,1680.69
61,0,56.9,36,37,0,0,3,2,1,4,7993.46
62,0,76.3,34,45,2,4,10,1,5,4,5205.76
63,0,79.6,33,60,2,0,26,1,7,4,2527.86
64,1,68.2,42,40,6,6,16,1,6,4,39061.56
65,0,44.6,40,2,5,8,9,1,5,4,11513.81
66,0,60.9,36,38,2,0,5,1,2,4,9304.48
68,0,62.1,34,19,0,4,8,1,2,4,10494.68
69,0,39.8,38,24,1,1,29,1,3,4,6293.09
70,1,60.7,40,31,0,4,15,1,7,4,6342.23
71,1,23.4,29,17,1,9,10,1,3,4,9229.82
72,0,77.8,38,13,6,6,16,1,7,4,4126.83
73,0,63.5,44,16,0,6,31,1,6,4,13641.09
74,0,14.5,36,20,6,3,16,1,5,4,7967.81
75,1,74.2,35,29,5,3,8,2,1,4,13628.08
76,0,80.3,41,46,5,0,15,1,2,4,9064.92
77,1,51.2,45,37,3,6,13,1,6,4,20322.62
78,0,65.8,43,13,6,3,9,1,3,4,9288.65
79,1,38.5,40,33,4,9,27,1,6,4,20571.07
80,0,35.2,47,11,1,3,25,1,2,4,8367.07
81,0,41.9,43,14,5,6,29,1,1,4,8077.75
83,0,46.8,26,36,6,3,16,1,5,4,14308.95
84,0,71.2,42,33,0,0,3,2,2,4,13851.28
85,0,53.4,30,9,3,3,6,1,2,4,8782.07
86,1,54,45,22,2,4,24,1,7,4,8987.07
87,1,60.1,32,25,2,7,9,1,2,4,15822.19
